Users,sku,Purchase
100303544,PNQAFD0001,Afshin Fresh Dates
100303535,CCUKCD0001,Rossogollas
100303535,PNQCBM0007,Kaju Roll
100303533,NAGSHS0003,Bhagat’s Alphonso Mango SonRolls
100303533,PNQAFD0001,Afshin Fresh Dates
100303528,PKLHPKM042,Kolhapuri Thecha Red (Pack of 4)
100303528,NAGSHS0003,Bhagat’s Alphonso Mango SonRolls
100303524,PNQAFD0001,Afshin Fresh Dates
100303398,PNQAFD0001,Afshin Fresh Dates
100303396,PNQAFD0001,Afshin Fresh Dates
100303385,RAJVAJ0017,Pani Puri Khakra (Pack of 2)
100303363,PNQAFD0001,Afshin Fresh Dates
100303362,PNQAFD0001,Afshin Fresh Dates
100303343,PNQCBM0008,Special Motichur Ladu
100303337,PNQAFD0001,Afshin Fresh Dates
100303313,PNQCBM0006,Kaju Katli
100303251,BRYAJS0003,Ajanta's Patisa
100303172,GUROMS0001,Doda Burfi
100303037,HUBPOF0006,Shenga (Groundnut) Chutney (Pack of 2)
100303023,CMBSKS0001,Mysurpa
100303023,BOMGSC0003,Kale Chips- Cheese and Onion
100303003,PNQBBX0001,Sev Ki Barfi
100302996,CMBSKS0001,Mysurpa
100302994,KOLMAX0010,Maxhealth's Gobindbhog Rice
100302994,KOLMAX0004,Maxhealth's Kalai Bori (Pack of 2)
100302889,HYDSRS0014,Dry Fruit Pootharekulu
100302793,ITASPZ0001,Pork and Bamboo Pickle
100302792,BRYAJS0003,Ajanta's Patisa
100302539,CCUKCD0001,Rossogollas
100302539,HYDKBA0002,Cashew Biscuit Premium
100302539,HYDKBA0009,Osmania Biscuits
100302488,BKBBBL0002,Bikaneri Mixture
100302371,DHWBTP0001,Dharwad Pedha
100302371,CCJKBC0005,Kumari Banana Chips
100302371,CCUKCD0001,Rossogollas
100302245,PNQMYG0003,Organic Turmeric Powder (Pack of 2)
100302138,PNQCBM0045,Chitale Bhakarwadi (Pack Of 2)
100302089,PNQGBL0018,Ukadiche Modak (6 Nos) Delivery 22 September
100302074,PNQATV0023,Bhopala Gharage (2 Packs)
100302073,PNQGBL0015,Ukadiche Modak (6 Nos) Delivery 19 September
100302014,PNQGBL0014,Ukadiche Modak (6 Nos) Delivery 18 September
100301987,CCUKCD0001,Rossogollas
100301987,GOIMAC0001,Guava Cheese (Guava Bar)
100301987,PNQCBM0001,Chitale Bhakarwadi
100301987,PNQCBM0008,Special Motichur Ladu
100301790,CCJMVA0001,Coconut Oil
100301698,AGRPAN0004,Rasbari Petha
100301698,AGRPAN0010,Petha Sandwich
100301652,PNQGBL0009,Ukadiche Modak (6 Nos)
100301638,BRCJBS0011,Chana-Gud Chana (Pack of 2)
100301631,GOIMAC0001,Guava Cheese (Guava Bar)
100301629,PNQRFP0031,Dry Calcutta Paan (Pack of 2)
100301627,PNQDSE0012,Milk Mysore Pak
100301620,GOIMAC0001,Guava Cheese (Guava Bar)
100301535,PNQATV0023,Bhopala Gharage (2 Packs)
100301535,PNQATV0022,Bhajani Chakali
100301535,PNQCBM0002,Special Chiwda
100301279,PNQLNC0006,Laxminarayan Chiwda (Poha) (Pack of 2)
100301277,MRGKRM0027,Lime Pickle (Set Of 2)
100301273,PNQLNC0006,Laxminarayan Chiwda (Poha) (Pack of 2)
100301252,CCUKCD0001,Rossogollas
100301252,SLPBLK0002,Khirmohan
100301197,CCUKCD0001,Rossogollas
100301159,MAAMBI0001,Puliyodharai Rice Mix
100301159,MAAMBI0022,Appalam
100301132,DHWBTP0001,Dharwad Pedha
100301033,SLPBLK0002,Khirmohan
100301007,AHMSFP0017,Gulab Jamun Tin
100300988,SLPBLK0002,Khirmohan
100300969,NAGHLR0001,Orange Burfee
100300969,PNQKKH0012,Chirote
100300969,PNQMZN0023,Chocolate Walnut Fudge (Pack of 2)
100300966,PNQKKH0012,Chirote
100300966,PNQRFP0001,Sweet Avla
100300941,SLPBLK0002,Khirmohan
100300895,BLRLSP0001,Lal Mysore Pak
100300849,BRCJBS0001,Roasted Peanuts-Classic Salted (Pack of 2)
100300810,PNQRFP0001,Sweet Avla
100300798,BLRNUY0001,Whole Wheat Atta
100300763,RAJVAJ0017,Pani Puri Khakra (Pack of 2)
100300727,PNQDBC0013,Fanas Gare (Jackfruit Chips)
100300727,PNQDBC0016,Gulkand (Pack of 2)
100300727,PKLHPKM044,Kolhapuri Chicken Biryani Masala (Pack of 4)
100300724,RAJVAJ0017,Pani Puri Khakra (Pack of 2)
100300657,PNQGBL0009,Ukadiche Modak (6 Nos)
100300525,COKKJR0001,Kunju's Jam Rolls
100300410,PNQGBL0009,Ukadiche Modak (6 Nos)
100300391,BLRSVS0006,Mysore Pak
100300382,AHMSFP0006,Kaju Katri
100300371,COKEAM0015,Chukku Kappi (2 Packs)
100300334,JODJOS0005,Ghewar (Sweet)
100300306,BOMMMM0057,MM Kaju Ice Halwa
100300306,BOMMMM0035,Kaju Parwal
100300302,CCUKCD0001,Rossogollas
100300223,DHWBTP0001,Dharwad Pedha
100300222,DHWBTP0002,Rakhi Gift - Dharwad Peda
100300201,SLPBLK0002,Khirmohan
100300196,SLPBLK0002,Khirmohan
100300189,DHWBTP0001,Dharwad Pedha
100300178,DHWBTP0001,Dharwad Pedha
100300178,SLPBLK0002,Khirmohan
100300178,BLRSVS0006,Mysore Pak
100300168,SLPBLK0002,Khirmohan
100300147,DHWBTP0001,Dharwad Pedha
100300140,DHWBTP0001,Dharwad Pedha
100300120,AGRPRP0005,Chocolate Petha
100300119,TVLMFI0002,Tirunelveli Melting Halwas (Pack of 3)
100300109,BRYAJS0003,Ajanta's Patisa
100300093,STRMSS0001,Kaara Sevu
100300093,STRMSS0004,Karupati Sevu
100300035,DHWBTP0002,Rakhi Gift - Dharwad Peda
100300003,GUROMS0001,Doda Burfi
100299962,DHWBTP0001,Dharwad Pedha
100299951,GUROMS0001,Doda Burfi
100299940,BRYAJS0003,Ajanta's Patisa
100299940,GUROMS0001,Doda Burfi
100299935,CCUKCD0001,Rossogollas
100299935,CCUMUC0017,Nimki (Pack of 2)
100299908,SLPBLK0002,Khirmohan
100299899,TCRSJS0001,Muscoth Halwa
100299884,CCJDLB0019,Tea Biscuits
100299858,AHMSFP0017,Gulab Jamun Tin
100299849,DELTOP0015,Anardana Papad (Pack of 2)
100299835,BLRNUY0019,Lotus Stem Pickle
100299791,TCRSJS0001,Muscoth Halwa
100299790,JODJOS0005,Ghewar (Sweet)
100299771,OOTMOC0079,Hazelnut Fudge Moddy's
100299771,PBKBRSC003,Moongodi
100299771,HYDALD0010,Badam Ashrafian
100299767,TCRSJS0002,Tirunelveli Ghee Halwa
100299743,BKBBBL0004,Bikaneri Bhujia
